Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-XAJI0Y,15895,39,Instagram,Video,35-44,Female,US,48297,2116,303.8502674,0.329109468,4.381224507,0
CAMP-6DPBHS,960,8,LinkedIn,Video,45-54,Female,UK,15097,2340,1572.604167,0.063588792,15.49976817,1
CAMP-AHXTHV,38258,54,YouTube,Image,35-44,All,US,8134,2740,21.26091275,4.703466929,33.68576346,0
CAMP-3A3ZMF,44832,28,Facebook,Text,25-34,Female,US,21801,4277,48.62821199,2.05641943,19.61836613,1
CAMP-8MDD4V,11384,36,Google,Story,18-24,All,UK,16503,1488,144.9666198,0.689813973,9.016542447,1
CAMP-30T9NT,6365,58,LinkedIn,Image,45-54,Male,UK,20358,1558,319.8428908,0.312653502,7.653011101,0
CAMP-3W5UZB,16950,47,Facebook,Text,35-44,Male,US,39018,2114,230.1946903,0.434414885,5.418012199,0
CAMP-IKCIDK,37294,8,LinkedIn,Story,55+,All,Germany,30127,1045,80.78243149,1.23789292,3.468649384,0
CAMP-WNNHJ7,22062,39,LinkedIn,Carousel,18-24,Female,UK,43096,2432,195.3404043,0.511926861,5.643215148,0
CAMP-XVG0FN,47291,59,Google,Story,25-34,All,India,34825,1583,73.63980461,1.357961235,4.545585068,0
CAMP-9XUY41,44231,35,YouTube,Video,35-44,Female,Canada,48620,1309,109.9229048,0.909728507,2.692307692,0
CAMP-IBLJH7,16123,55,Instagram,Video,25-34,Male,US,46147,4918,286.2184457,0.349383492,10.65724749,0
CAMP-5LXO6Q,41190,24,YouTube,Carousel,25-34,Female,US,24553,602,59.60912843,1.677595406,2.451838879,0
CAMP-JIUJV6,1785,23,Google,Image,45-54,All,Canada,2829,1621,158.487395,0.630965005,57.29939908,0
CAMP-OH9SDB,869,8,Google,Text,45-54,All,Germany,21354,4881,2457.30725,0.040694952,22.85754425,0
CAMP-DW2PCN,2533,8,Google,Story,35-44,Male,Canada,805,4767,31.78049743,3.146583851,592.173913,0
CAMP-9T84AZ,5411,57,Facebook,Video,55+,Female,UK,39313,101,726.5385326,0.137638949,0.256912472,0
CAMP-YTJXEP,37919,50,YouTube,Image,35-44,Female,Canada,43005,4272,113.412801,0.881734682,9.933728636,1
CAMP-Q85JSG,39288,6,YouTube,Carousel,55+,Female,US,42331,238,107.7453675,0.928114148,0.562235714,0
CAMP-65KXVF,17668,32,LinkedIn,Video,25-34,Male,Canada,17450,4026,98.76613086,1.012492837,23.07163324,0
CAMP-1T2TAL,19869,13,LinkedIn,Carousel,18-24,Female,India,40165,2919,202.1490765,0.494684427,7.267521474,0
CAMP-A753LC,28793,32,LinkedIn,Story,35-44,All,UK,14299,2543,49.66137603,2.013637317,17.78446045,0
CAMP-58DRC1,6496,33,Google,Text,35-44,Female,Canada,47697,2004,734.2518473,0.136193052,4.201522108,0
CAMP-1ERTJ5,27580,26,YouTube,Video,55+,Male,US,46875,1538,169.960116,0.588373333,3.281066667,0
CAMP-PHT0HL,41534,57,Google,Video,25-34,Female,UK,44875,755,108.0440121,0.925548747,1.682451253,0
CAMP-9XPSEI,25758,11,Facebook,Story,25-34,Female,US,24650,3369,95.69842379,1.04494929,13.6673428,0
CAMP-MVIHCW,19042,57,LinkedIn,Image,55+,All,Germany,37756,2259,198.2774919,0.50434368,5.983154995,0
CAMP-I64CIY,18531,5,Google,Text,25-34,Female,India,19272,3666,103.9987049,0.961550436,19.02241594,1
CAMP-HE7UR2,2847,53,Google,Video,45-54,All,Germany,33555,4236,1178.609062,0.084845776,12.62405007,0
CAMP-3GDPPQ,289,33,Facebook,Text,18-24,All,India,39018,541,13501.03806,0.007406838,1.386539546,0
CAMP-0Y9DOM,19218,42,Instagram,Video,35-44,Male,Canada,41189,270,214.3251119,0.466580883,0.655514822,0
CAMP-5IGQPK,35873,39,YouTube,Text,18-24,All,UK,49433,3461,137.8000167,0.725689317,7.001395829,0
CAMP-I7P5TB,1999,38,Instagram,Carousel,35-44,All,Canada,41352,3409,2068.634317,0.048341072,8.243857613,0
CAMP-94874F,1367,26,LinkedIn,Video,45-54,Male,India,29198,506,2135.918069,0.046818275,1.732995411,0
CAMP-RHOCN9,31651,33,Google,Text,25-34,All,India,22352,1130,70.62020157,1.416025412,5.05547602,0
CAMP-J2QP89,11494,8,Facebook,Image,55+,Male,India,2673,2080,23.25561162,4.300037411,77.81518893,0
CAMP-UZFK8U,3656,4,Facebook,Carousel,45-54,Female,US,8696,3146,237.8555799,0.420423183,36.1775529,0
CAMP-T0CVS4,3990,22,YouTube,Carousel,18-24,Male,UK,13593,3243,340.6766917,0.293533436,23.85786802,0
CAMP-F8CGVY,41706,30,Instagram,Image,55+,All,Canada,29010,4909,69.55833693,1.437642192,16.92175112,0
CAMP-IE6IVW,30840,13,YouTube,Text,25-34,Male,Canada,22835,362,74.04345006,1.350558353,1.585285746,0
CAMP-PVS7HZ,14602,6,Google,Story,45-54,All,Germany,12867,3721,88.11806602,1.134841066,28.91893992,0
CAMP-IOYKL1,21877,17,YouTube,Image,55+,Female,India,31456,1457,143.785711,0.6954794,4.631866734,0
CAMP-CQ99CH,10727,8,Facebook,Text,45-54,Male,India,23506,4068,219.1292999,0.45635157,17.30621969,0
CAMP-J755NF,8892,56,Facebook,Image,45-54,Female,India,23827,4196,267.959964,0.373190078,17.61027406,0
CAMP-4ZW9XA,43423,51,LinkedIn,Image,25-34,All,Canada,20964,1682,48.27856205,2.071312727,8.023278,0
CAMP-3KX7EE,43121,32,LinkedIn,Video,35-44,All,Germany,29603,1053,68.65100531,1.456642908,3.557071918,0
CAMP-DTJVZH,8533,58,Google,Text,55+,Female,US,23598,2510,276.5498652,0.361598441,10.63649462,0
CAMP-WJR64D,43101,40,Instagram,Story,25-34,Male,UK,37315,4728,86.5757175,1.155058288,12.67050784,1
CAMP-PJA1WJ,11116,53,YouTube,Video,45-54,Male,US,40751,682,366.597697,0.272778582,1.673578562,0
CAMP-0TPAC5,23997,59,Google,Image,25-34,All,Canada,6777,3933,28.24103013,3.540947322,58.03452855,1
CAMP-6T4UFE,2712,4,LinkedIn,Image,35-44,Female,India,44974,2130,1658.333333,0.060301508,4.736069729,1
CAMP-L6246H,23583,17,YouTube,Image,55+,Female,UK,32477,4850,137.7136073,0.726144656,14.93364535,1
CAMP-ID25OW,48655,13,LinkedIn,Text,35-44,Male,Canada,16742,4017,34.40961874,2.906164138,23.99354916,1
CAMP-F75935,17259,10,YouTube,Text,18-24,Male,Canada,31675,3303,183.527435,0.544877664,10.42778216,1
CAMP-A0L725,45074,28,Instagram,Video,55+,Male,Canada,24968,720,55.39335315,1.805270747,2.883691125,1
CAMP-3J2D54,41094,53,Google,Story,35-44,Female,UK,41445,75,100.8541393,0.991530945,0.180962722,0
CAMP-I3QK2I,14641,47,YouTube,Video,45-54,Male,UK,41186,1294,281.3059217,0.355484874,3.141844316,1
CAMP-AGL58K,36020,46,Facebook,Carousel,55+,Male,Germany,49340,1923,136.9794559,0.730036482,3.897446291,1
CAMP-XO9T7E,26631,7,Facebook,Image,55+,All,Germany,49395,4158,185.4793286,0.539143638,8.417856058,1
CAMP-8G8JDP,1685,8,YouTube,Image,25-34,Male,US,15627,4970,927.4183976,0.107826198,31.8039291,1
CAMP-0LVSNU,4043,28,YouTube,Image,45-54,Male,UK,19669,320,486.4951768,0.205551884,1.626925619,0
CAMP-JZA7TZ,24039,56,YouTube,Video,18-24,Female,UK,46290,2150,192.5620866,0.519313027,4.64463167,1
CAMP-0YNCXL,19557,6,Facebook,Video,35-44,Female,UK,33760,1453,172.623613,0.579295024,4.303909953,1
CAMP-L4ZKLO,1121,21,Facebook,Image,25-34,All,Germany,37438,4970,3339.696699,0.029942839,13.2752818,1
CAMP-OKEP7Y,11753,22,YouTube,Video,35-44,Male,Canada,16245,1556,138.2200289,0.723484149,9.578331794,1
CAMP-6WKTAK,43673,35,LinkedIn,Text,18-24,All,India,27739,4208,63.51521535,1.574425899,15.16997729,1
